ShopID,AccountName,EmailSubject,EmailBody,SmsBody
101978.0,57 Lincoln Kitchen - 101978,Take your online presence further with Slice’s marketing & POS,"Hi 57 Lincoln Kitchen - 101978,

Great job having your own direct ordering! Slice can help you go even further with advanced advertising services, a powerful owner’s app, and a POS built for pizzerias. We also host pizzeria‑owner events and provide industry reports to help you stay ahead.","57 Lincoln Kitchen - 101978: You’re already direct—let’s accelerate growth. Slice offers marketing, a custom POS, and owner resources just for pizzerias."
112483.0,Abe's Pizza - 112483,Take your online presence further with Slice’s marketing & POS,"Hi Abe's Pizza - 112483,

Great job having your own direct ordering! Slice can help you go even further with advanced advertising services, a powerful owner’s app, and a POS built for pizzerias. We also host pizzeria‑owner events and provide industry reports to help you stay ahead.","Abe's Pizza - 112483: You’re already direct—let’s accelerate growth. Slice offers marketing, a custom POS, and owner resources just for pizzerias."
99089.0,Acton House of Pizza - 99089,Take your online presence further with Slice’s marketing & POS,"Hi Acton House of Pizza - 99089,

Great job having your own direct ordering! Slice can help you go even further with advanced advertising services, a powerful owner’s app, and a POS built for pizzerias. We also host pizzeria‑owner events and provide industry reports to help you stay ahead.","Acton House of Pizza - 99089: You’re already direct—let’s accelerate growth. Slice offers marketing, a custom POS, and owner resources just for pizzerias."
nan,Acton New London Style Pizza,Take your online presence further with Slice’s marketing & POS,"Hi Acton New London Style Pizza,

Great job having your own direct ordering! Slice can help you go even further with advanced advertising services, a powerful owner’s app, and a POS built for pizzerias. We also host pizzeria‑owner events and provide industry reports to help you stay ahead.","Acton New London Style Pizza: You’re already direct—let’s accelerate growth. Slice offers marketing, a custom POS, and owner resources just for pizzerias."
36156.0,AJ's Pizzeria - 36156,Take your online presence further with Slice’s marketing & POS,"Hi AJ's Pizzeria - 36156,

Great job having your own direct ordering! Slice can help you go even further with advanced advertising services, a powerful owner’s app, and a POS built for pizzerias. We also host pizzeria‑owner events and provide industry reports to help you stay ahead.","AJ's Pizzeria - 36156: You’re already direct—let’s accelerate growth. Slice offers marketing, a custom POS, and owner resources just for pizzerias."
52681.0,Ak's Waltham - 52681,Take your online presence further with Slice’s marketing & POS,"Hi Ak's Waltham - 52681,

Great job having your own direct ordering! Slice can help you go even further with advanced advertising services, a powerful owner’s app, and a POS built for pizzerias. We also host pizzeria‑owner events and provide industry reports to help you stay ahead.","Ak's Waltham - 52681: You’re already direct—let’s accelerate growth. Slice offers marketing, a custom POS, and owner resources just for pizzerias."
101889.0,Alexander's Pizza - 101889,Take your online presence further with Slice’s marketing & POS,"Hi Alexander's Pizza - 101889,

Great job having your own direct ordering! Slice can help you go even further with advanced advertising services, a powerful owner’s app, and a POS built for pizzerias. We also host pizzeria‑owner events and provide industry reports to help you stay ahead.","Alexander's Pizza - 101889: You’re already direct—let’s accelerate growth. Slice offers marketing, a custom POS, and owner resources just for pizzerias."
51199.0,All Star Pizza Bar - 51199,Take your online presence further with Slice’s marketing & POS,"Hi All Star Pizza Bar - 51199,

Great job having your own direct ordering! Slice can help you go even further with advanced advertising services, a powerful owner’s app, and a POS built for pizzerias. We also host pizzeria‑owner events and provide industry reports to help you stay ahead.","All Star Pizza Bar - 51199: You’re already direct—let’s accelerate growth. Slice offers marketing, a custom POS, and owner resources just for pizzerias."
107409.0,American Pie Pizza & More - 107409,Take your online presence further with Slice’s marketing & POS,"Hi American Pie Pizza & More - 107409,

Great job having your own direct ordering! Slice can help you go even further with advanced advertising services, a powerful owner’s app, and a POS built for pizzerias. We also host pizzeria‑owner events and provide industry reports to help you stay ahead.","American Pie Pizza & More - 107409: You’re already direct—let’s accelerate growth. Slice offers marketing, a custom POS, and owner resources just for pizzerias."
17173.0,Amici's - 17173,Grow your pizzeria with a custom website and phone ordering,"Hi Amici's - 17173,

I noticed your pizzeria doesn’t have a website listed online. With Slice, you can get a tailor‑made website and a phone ordering solution that puts you in control of your customer relationships. Our platform even offers discounted delivery and a pizzeria‑specific POS system to help you run your business more smoothly.","Amici's - 17173: We can build you a custom website and phone ordering solution through Slice, plus discounted delivery and a POS built for pizzerias."
